ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000914208-25-000334	201414		028-11246	000000000		Invesco Ltd.
0000914208-25-000333	201305		028-11246	000000000		Invesco Ltd.
0000400007-25-000004	200996	0001692234	028-17598			Russell Investments Group, Ltd.
0000914208-25-000332	201013		028-11246	000000000		Invesco Ltd.
0000914208-25-000331	201040		028-11246	000000000		Invesco Ltd.
0001402828-25-000007	201416	0001164508	028-10005			ARROWSTREET CAPITAL, LIMITED PARTNERSHIP
0000914208-25-000330	201364		028-11246	000000000		Invesco Ltd.
0000914208-25-000329	201218		028-11246	000000000		Invesco Ltd.
0000914208-25-000328	201523		028-11246	000000000		Invesco Ltd.
0001415227-25-000005	201169	0001692234	028-17598			Russell Investments Group, Ltd.
0000914208-25-000327	201302		028-11246	000000000		Invesco Ltd.
0000914208-25-000326	201510		028-11246	000000000		Invesco Ltd.
0000945621-25-000759	200955	0002056088	028-25236			Groupe la Francaise
0001928783-25-000006	201375	0000914208	028-11246			Invesco Ltd.
0002056910-25-000002	200981	0001911832	028-22291	000145706	801-69970	Forum Financial Management, LP
0000945621-25-000754	201392	0002056266	028-25255			Groupe des Assurances du Credit Mutuel
0001941040-25-000481	201606	0001034524	028-03687	000106093	801-15180	POLEN CAPITAL MANAGEMENT LLC
0001941040-25-000481	201605	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001941040-25-000481	201608	0001554656	028-15157	000153994	801-71732	Raub Brock Capital Management LP
0001941040-25-000481	201609	0001455969	028-13671	000137342	801-64812	Reynders McVeigh Capital Management, LLC
0001941040-25-000481	201610	0001341401	028-11487	000134918	801-64175	River Road Asset Management, LLC
0001941040-25-000481	201611	0001112325	028-05655	000108074	801-57432	RIVERBRIDGE PARTNERS LLC
0001941040-25-000481	201612	0001882572	028-21541	000283540	801-117635	Riverwater Partners LLC
0001941040-25-000481	201613	0001477872	028-13757	000110506	801-57695	Saratoga Research & Investment Management
0001941040-25-000481	201614	0001056593	028-04691	000105799	801-18407	SCHAFER CULLEN CAPITAL MANAGEMENT INC
0001941040-25-000481	201615	0001006378	028-03381	000106505	801-47232	SEGALL BRYANT & HAMILL, LLC
0001941040-25-000481	201616	0001002784	028-05709	000104720	801-25205	SHELTON CAPITAL MANAGEMENT
0001941040-25-000481	201617	0001232395	028-10472	000118333	801-61004	SILVERCREST ASSET MANAGEMENT GROUP LLC
0001941040-25-000481	201618	0001299910	028-10937	000131183	801-71522	Skylands Capital, LLC
0001941040-25-000481	201619	0001504492	028-14071	000124777	801-61779	St. James Investment Company, LLC
0001941040-25-000481	201620	0001308685	028-11071	000106785	801-45724	Stack Financial Management, Inc
0001941040-25-000481	201621	0001329883	028-11465	000135405	801-64257	Sterling Capital Management LLC
0001941040-25-000481	201622	0001591478	028-16131	000164280	801-76701	Swan Capital Management, LLC
0001941040-25-000481	201623	0001021642	028-05840	000106975	801-51795	VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.
0001941040-25-000481	201624	0001600435	028-18951	000143720	801-68152	Wakefield Asset Management LLLP
0001941040-25-000481	201625	0000814133	028-01286	000106081	801-11095	WASATCH ADVISORS LP
0001941040-25-000481	201626	0001177719	028-10220	000146990	801-69413	WESTFIELD CAPITAL MANAGEMENT CO LP
0001941040-25-000481	201627	0001086483	028-04587	000110897	801-40592	ZACKS INVESTMENT MANAGEMENT
0001941040-25-000481	201628	0001307617	028-10982	000309195	801-118813	Ziegler Capital Management, LLC
0001941040-25-000481	201629	0001009289	028-05392	000117198	801-27265	CITY NATIONAL ROCHDALE, LLC
0001941040-25-000481	201630	0000350894	028-16454	000105146	801-24593	SEI INVESTMENTS CO
0001941040-25-000481	201631	0000003520	028-00869	000106750	801-67135	FRED ALGER MANAGEMENT, LLC
0001941040-25-000481	201632	0001165797	028-11728	000113308	801-60343	CAUSEWAY CAPITAL MANAGEMENT LLC
0001941040-25-000481	201633	0001742418	028-18806	000197522	801-96275	Dundas Partners LLP
0001941040-25-000481	201634	0001102578	028-05269	000107926	801-56189	EARNEST PARTNERS LLC
0001941040-25-000481	201572	0001730242	028-19649	000286620	801-110302	55I, LLC
0001941040-25-000481	201573	0001508822	028-14059	000110933	801-60694	ACR Alpine Capital Research, LLC
0001941040-25-000481	201574	0001093589	028-05119	000106786	801-50778	ALTA CAPITAL MANAGEMENT LLC/
0001941040-25-000481	201575	0001122241	028-10180	000106321	801-49335	AMI INVESTMENT MANAGEMENT INC
0001941040-25-000481	201576	0000813933	028-01880	000105540	801-18930	ANCHOR CAPITAL ADVISORS LLC
0001941040-25-000481	201577	0001364615	028-11964	000111616	801-57184	Aperio Group, LLC
0001941040-25-000481	201578	0000860644	028-02634	000109876	801-60014	Aristotle Capital Management, LLC
0001941040-25-000481	201579	0001793367	028-19653	000154078	801-79309	Belmont Capital, LLC
0001941040-25-000481	201580	0001650142	028-16982	000175139	801-96241	Bristol Gate Capital Partners Inc.
0001941040-25-000481	201581	0001345929	028-13997	000110181	801-38826	BROWN ADVISORY INC
0001941040-25-000481	201582	0001350585	028-11563	000111335	801-60111	Coho Partners, Ltd.
0001941040-25-000481	201583	0001442056	028-13334	000146019	801-68723	CONFLUENCE INVESTMENT MANAGEMENT LLC
0001941040-25-000481	201584	0000897378	028-03434	000105161	801-23386	CONGRESS ASSET MANAGEMENT CO
0001941040-25-000481	201585	0001427514	028-13023	000105879	801-14828	Dana Investment Advisors, Inc.
0001941040-25-000481	201586	0001140771	028-10301	000110552	801-10883	DAVIDSON INVESTMENT ADVISORS
0001941040-25-000481	201587	0001036325	028-04121	000108674	801-31648	DAVIS SELECTED ADVISERS
0001941040-25-000481	201588	0001217541	028-10648	000110638	801-32176	DIAMOND HILL CAPITAL MANAGEMENT INC
0001941040-25-000481	201589	0001767220	028-19385	000297596	801-113638	Edge Capital Group, LLC
0001941040-25-000481	201590	0001407543	028-13411	000111694	801-57260	ENVESTNET ASSET MANAGEMENT INC
0001941040-25-000481	201591	0001780570	028-19978	000282827	801-107290	Ethic Inc.
0001941040-25-000481	201592	0001834499	028-20863	000304405	801-116853	F/m Investments LLC
0001941040-25-000481	201593	0000764532	028-01526	000109149	801-15164	FIDUCIARY MANAGEMENT INC /WI/
0001941040-25-000481	201594	0000807249	028-01887	000104950	801-14132	GAMCO INVESTORS, INC. ET AL
0001941040-25-000481	201595	0000860643	028-02635	000106114	801-41357	GARDNER RUSSO & QUINN LLC
0001941040-25-000481	201596	0001106129	028-03495	000105281	801-32726	JENSEN INVESTMENT MANAGEMENT INC
0001941040-25-000481	201597	0000949615	028-05066	000104536	801-46991	KAYNE ANDERSON CAPITAL ADVISORS LP
0001941040-25-000481	201598	0001259887	028-10665	000106654	801-46604	LONDON CO OF VIRGINIA
0001941040-25-000481	201599	0000312348	028-00398	000105377	801-170	LOOMIS SAYLES & CO L P
0001941040-25-000481	201600	0001419999	028-13243	000144906	801-68369	MAR VISTA INVESTMENT PARTNERS LLC
0001941040-25-000481	201601	0001050463	028-06620	000106288	801-48064	MORGAN DEMPSEY CAPITAL MANAGEMENT LLC
0001941040-25-000481	201602	0001053187	028-06808			Natixis Investment Managers, LLC
0001941040-25-000481	201603	0001465109	028-13573	000149822	801-71669	Neuberger Berman Group LLC
0001941040-25-000481	201604	0001846352	028-20945	000148061	801-121856	Nixon Capital, LLC
0001941040-25-000481	201607	0001076964	028-13006	000106976	801-16412	Provident Investment Management, Inc.
0001879898-25-000010	201233	0001879898	028-22368	000160610	801-73745	Atlas FRM LLC
0001879898-25-000009	201393	0001879898	028-22368	000160610	801-73745	Atlas FRM LLC
0000945621-25-000750	201858	0002056088	028-25236			Groupe la Francaise
0001879898-25-000008	201247	0001879898	028-22368	000160610	801-73745	Atlas FRM LLC
0001879898-25-000007	201862	0001879898	028-22368	000160610	801-73745	Atlas FRM LLC
0001454502-25-000006	201039	0001454502	028-13331			Triple Frond Partners LLC
0001999371-25-011223	200524	0001058470	028-07066			ICON ADVISERS INC/CO
0002022299-25-000002	200527	0002022297	028-24160			Federation des caisses Desjardins du Quebec
0002022299-25-000002	200528	0001563660	028-21533			Desjardins Global Asset Management Inc.
0001361570-25-000019	200582	0001993888				Pictet Asset Management Holding SA
0000897069-25-001320	200775		028-24743			Wynnchurch Capital Partners IV, L.P.
0001361570-25-000018	200521	0001993888				Pictet Asset Management Holding SA
0001104659-25-077376	200672	0001097362	028-05799			SUN LIFE FINANCIAL INC
0001104659-25-077373	200493	0001097362	028-05799			SUN LIFE FINANCIAL INC
0001214659-25-011937	200523	0001697723	028-17779	000282580	801-107319	AE Wealth Management LLC
0001104659-25-077371	200858	0001097362	028-05799			SUN LIFE FINANCIAL INC
0001104659-25-077368	200906	0000912938	028-04968			MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0001361570-25-000017	200506	0001993888				Pictet Asset Management Holding SA
0001741001-25-000007	200892		028-19675	000286622	801-114538	Vident Advisory, LLC
0001361570-25-000016	200593	0001993888				Pictet Asset Management Holding SA
0002005369-25-000030	200479	0001053906	028-15027			Artal Group S.A.
0002005369-25-000028	200814	0001053906	028-15027			Artal Group S.A.
0001361570-25-000015	200700	0001993888				Pictet Asset Management Holding SA
0002005369-25-000026	200830	0001053906	028-15027			Artal Group S.A.
0002005369-25-000024	200538	0001053906	028-15027			Artal Group S.A.
0000929638-25-002989	200857	0002075444				Al Warda Investments RSC Ltd
0000929638-25-002989	200856	0001801297	028-19726			Al Mehwar Commercial Investments LLC
0000919574-25-004521	200522	0001050417	028-10718	000109979	801-50707	CONTRARIAN CAPITAL MANAGEMENT, L.L.C.
0002005369-25-000022	200897	0001053906	028-15027			Artal Group S.A.
0001361570-25-000014	200827	0001993888				Pictet Asset Management Holding SA
0001422848-25-000150	200406		028-00218	000312837	801-121267	CAPITAL GROUP PRIVATE CLIENT SERVICES INC 
0001422848-25-000150	200405		028-04459			CAPITAL INTERNATIONAL LTD /CA/ 
0001422848-25-000150	200404		028-04461	000162640	802-75723	CAPITAL INTERNATIONAL SARL 
0001422848-25-000150	200403		028-04457	000110682	801-32104	CAPITAL INTERNATIONAL INC /CA/ 
0001422848-25-000150	200402		028-15076			Capital International Investors 
0001422848-25-000150	200401		028-12786			Capital World Investors 
0001422848-25-000150	200400		028-12785			Capital Research Global Investors 
0001422848-25-000150	200407		028-23031			CAPITAL GROUP INVESTMENT MANAGEMENT PRIVATE LIMITED
0001422848-25-000142	200668		028-23031			CAPITAL GROUP INVESTMENT MANAGEMENT PRIVATE LIMITED
0001422848-25-000142	200661		028-12785			Capital Research Global Investors 
0001422848-25-000142	200662		028-12786			Capital World Investors 
0001422848-25-000142	200663		028-15076			Capital International Investors 
0001422848-25-000142	200664		028-04457	000110682	801-32104	CAPITAL INTERNATIONAL INC /CA/ 
0001422848-25-000142	200665		028-04461	000162640	802-75723	CAPITAL INTERNATIONAL SARL 
0001422848-25-000142	200666		028-04459			CAPITAL INTERNATIONAL LTD /CA/ 
0001422848-25-000142	200667		028-00218	000312837	801-121267	CAPITAL GROUP PRIVATE CLIENT SERVICES INC 
0001040188-25-000057	200651	0000312348	028-00398			LOOMIS SAYLES & CO L P
0001040188-25-000057	200652	0001633863	028-16899			Wellington Management Co LLP
0001040188-25-000057	200650	0001207017	028-10469			LAZARD ASSET MANAGEMENT LLC
0001040188-25-000057	200649	0001026710	028-05876			Granahan Investment Management, LLC
0001040188-25-000057	200648	0001608904				SailingStone Capital Partners LLC
0001040188-25-000057	200647	0001233991	028-10477			COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC
0001398344-25-015212	200870	0001595932	028-17294	000165053	801-100438	GUARDIAN POINT CAPITAL, LP
0001422848-25-000141	200466		028-12786			Capital World Investors 
0001422848-25-000141	200465		028-12785			Capital Research Global Investors 
0001422848-25-000141	200467		028-15076			Capital International Investors 
0001422848-25-000141	200468		028-04457	000110682	801-32104	CAPITAL INTERNATIONAL INC /CA/ 
0001422848-25-000141	200469		028-04461	000162640	802-75723	CAPITAL INTERNATIONAL SARL 
0001422848-25-000141	200470		028-04459			CAPITAL INTERNATIONAL LTD /CA/ 
0001422848-25-000141	200471		028-00218	000312837	801-121267	CAPITAL GROUP PRIVATE CLIENT SERVICES INC 
0001422848-25-000141	200472		028-23031			CAPITAL GROUP INVESTMENT MANAGEMENT PRIVATE LIMITED
0001172661-25-003117	200540	0001592828	028-17729			Empowered Funds, LLC
0001172661-25-003116	200873	0001650150	028-18071	000269866	801-100433	Lido Advisors, LLC
0001172661-25-003115	200638	0001592828	028-17729	000171412	801-79835	Empowered Funds, LLC
0001172661-25-003114	200678	0001650150	028-18071	000269866	801-100433	Lido Advisors, LLC
0001700286-25-000016	200902	0001700286	028-18103	000286294	802-108995	Algebris (UK) Ltd
0002005369-25-000018	200697	0002005245	028-24464			Siren, L.L.C.
0002005369-25-000016	200462	0002005245	028-24464			Siren, L.L.C.
0000059546-25-000013	200698	0001624758	028-16292	000162200		Capital Analysts, LLC
0001172661-25-003104	200602	0001749768	028-18939			Impax Asset Management Group plc
0001172661-25-003104	200601	0001731029	028-18851			Greencape Capital Pty Ltd
0001172661-25-003104	200600	0001731012	028-18430			Alphinity Investment Management Pty Ltd
0001398344-25-015199	200586	0001638081	028-19400	000166517	801-77698	RWC ASSET ADVISORS (US) LLC
0001172661-25-003101	200640	0001441888	028-13245	000112528	801-60282	Tributary Capital Management, LLC
0001172661-25-003101	200641	0000036644	028-00317			FIRST NATIONAL BANK OF OMAHA
0001415889-25-021557	200831	0001465109	028-13573			Neuberger Berman Group LLC 
0001415889-25-021555	200476	0001465109	028-13573			Neuberger Berman Group LLC 
0001415889-25-021553	200834	0001465109	028-13573			Neuberger Berman Group LLC
0001415889-25-021550	200475	0001465109	028-13573			Neuberger Berman Group LLC 
0001062993-25-014252	200907		028-14499			Arbiter Partners Capital Management LLC
0001415889-25-021543	200556	0001465109	028-13573			Neuberger Berman Group LLC
0001062993-25-014246	200439		028-14499			Arbiter Partners Capital Management LLC
0001415889-25-021541	200925	0001465109	028-13573			Neuberger Berman Group LLC
0001415889-25-021539	200438	0001465109	028-13573			Neuberger Berman Group LLC 
0001667108-25-000004	200872	0001534653				Skandinaviska Enskilda Banken AB (publ)
0002033481-25-000009	200643		028-694	000000079	801-3702	JP Morgan Chase & Co.
0002033481-25-000008	200495		028-694	000000079	801-3702	JP Morgan Chase & Co.
0000950123-25-007760	200560		28-00267			M & T BANK CORPORATION
0001435066-25-000007	200639	0000312348	028-00398			LOOMIS SAYLES & CO L P
0002033481-25-000007	200508		028-694	000000079	801-3702	JP Morgan Chase & Co.
0001587281-25-000009	200488	0001387941	028-12259	000128356		ALPHASIMPLEX GROUP, LLC
0001587281-25-000008	200616	0001738726	028-18745	000146023		Ceredex Value Advisors LLC
0001587281-25-000008	200617	0001738728	028-18744	000146025		Silvant Capital Management LLC
0001587281-25-000008	200618	0001276918	028-10622	000128990		ZEVENBERGEN CAPITAL INVESTMENTS LLC
0001587281-25-000008	200619	0001862664	028-21243	000310902		NFJ INVESTMENT GROUP, LLC
0001587281-25-000008	200620	0001290668	028-11076	000127447		Sustainable Growth Advisers, LP
0001587281-25-000008	200621	0001587281	028-17301	000168955		VIRTUS ADVISERS, LLC
0001587281-25-000007	200799	0001068837	028-07292	000108934		VOYA INVESTMENT MANAGEMENT LLC
0001587281-25-000007	200793	0000765443	028-01420	000107296		DUFF & PHELPS INVESTMENT MANAGEMENT CO
0001587281-25-000007	200801	0001738726	028-18745	000146023		Ceredex Value Advisors LLC
0001587281-25-000007	200802	0002079921		000146029		Virtus Fixed Income Advisers, LLC
0001587281-25-000007	200803	0001587281	028-17301	000168955		VIRTUS ADVISERS, LLC
0001587281-25-000007	200800	0001276918	028-10622	000128990		ZEVENBERGEN CAPITAL INVESTMENTS LLC
0001587281-25-000007	200794	0001021223	028-05792	000104599		KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC
0001587281-25-000007	200795	0001290668	028-11076	000127447		Sustainable Growth Advisers, LP
0001587281-25-000007	200796	0001862664	028-21243	000310902		NFJ INVESTMENT GROUP, LLC
0001587281-25-000007	200797	0001512805	028-14257	000155686		Westchester Capital Management, LLC
0001587281-25-000007	200798	0001738728	028-18744	000146025		Silvant Capital Management LLC
0000950123-25-007758	200781		28-00267			M & T BANK CORPORATION
0000950123-25-007757	200594		28-00267			M & T BANK CORPORATION
0000950123-25-007754	200503		28-00267			M & T BANK CORPORATION
0000950123-25-007753	200674		28-00267			M & T BANK CORPORATION
0000950123-25-007750	200817		28-00267			M & T BANK CORPORATION
0000950123-25-007747	200455		28-00267			M & T BANK CORPORATION
0001172661-25-003094	200635	0001620275	028-16282	000164411	801-76920	Paradice Investment Management LLC
0001085146-25-004977	200510	0000009631	028-11475			BANK OF NOVA SCOTIA
0001085146-25-004976	200451	0000009631	028-11475			BANK OF NOVA SCOTIA
0001085146-25-004975	200598	0000009631	028-11475			BANK OF NOVA SCOTIA
0000950123-25-007745	200534		028-15480			Pamplona Capital Management, LLC
0001085146-25-004974	200671	0000009631	028-11475			BANK OF NOVA SCOTIA
0002045083-25-000003	200454	0001651424		000331740		Quadrature Capital Ltd
0001085146-25-004973	200591	0000009631	028-11475			BANK OF NOVA SCOTIA
0000950123-25-007742	200573		028-15480			Pamplona Capital Management, LLC
0000950123-25-007741	200501		028-15480			Pamplona Capital Management, LLC
0001085146-25-004970	200530	0001512237	028-14333			Global Endowment Management, LP
0000892712-25-000094	200629	0001477024	028-13747			Johnson Financial Group, Inc.
0000892712-25-000093	200461	0001477024	028-13747			Johnson Financial Group, Inc.
0002035591-25-000005	200888	0001294591	028-25580			Rakuten Group, Inc.
0001085146-25-004957	200723	0001541743	028-14668	000135822	801-68586	Copeland Capital Management, LLC
0001085146-25-004957	200724	0001539204	028-18152	000317544	801-17695	Crossmark Global Holdings, Inc.
0001085146-25-004957	200725	0001427514	028-13023	000108477	801-14828	Dana Investment Advisors, Inc.
0001085146-25-004957	200765	0001061186	028-07104	000122836	801-11916	WCM INVESTMENT MANAGEMENT, LLC
0001085146-25-004957	200766	0001177719	028-10220	000146990	801-69413	WESTFIELD CAPITAL MANAGEMENT CO LP
0001085146-25-004957	200767	0001086483	028-04587	000142219	801-40592	ZACKS INVESTMENT MANAGEMENT
0001085146-25-004957	200768	0001276918	028-10622	000108893	801-62477	ZEVENBERGEN CAPITAL INVESTMENTS LLC
0001085146-25-004957	200726	0001140771	028-10301	000108278	801-10883	DAVIDSON INVESTMENT ADVISORS
0001085146-25-004957	200727	0000790502	028-01666	000106786	801-21343	EAGLE ASSET MANAGEMENT INC
0001085146-25-004957	200728	0001102578	028-05269	000109876	801-56189	EARNEST PARTNERS LLC
0001085146-25-004957	200729	0001076598	028-04139	000285721	801-15930	EATON VANCE MANAGEMENT
0001085146-25-004957	200730	0000937729	028-10991	000145463	801-1725	FAYEZ SAROFIM & CO
0001085146-25-004957	200731	0000819684	028-01454	000108928	801-34611	FEDERATED INVESTMENT COUNSELING
0001085146-25-004957	200732	0001125816	028-06487	000124982	801-39950	FIRST TRUST ADVISORS LP
0001085146-25-004957	200733	0001409108	028-12558	000105404	801-67411	FRANKLIN TEMPLETON PRIVATE PORTFOLIO GROUP, LLC
0001085146-25-004957	200734	0001082327	028-04007	000110181	801-43915	FULLER & THALER ASSET MANAGEMENT, INC.
0001085146-25-004957	200735	0001229262	028-10981	000107003	801-37591	GOLDMAN SACHS ASSET MANAGEMENT, L.P.
0001085146-25-004957	200736	0001546587	028-15481	000147746	801-77209	Hartford Funds Management Co LLC
0001085146-25-004957	200737	0000937394	028-04131	000110885	801-19074	HEARTLAND ADVISORS INC
0001085146-25-004957	200738	0001314620	028-11091	000104592	801-57921	Hillman Capital Management, Inc.
0001085146-25-004957	200739	0000020430	028-00255	000108257	801-33949	Invesco Advisers, Inc.
0001085146-25-004957	200740	0000812295	028-01343	000105161	801-13991	JANUS HENDERSON INVESTORS US LLC
0001085146-25-004957	200741	0000053417	028-00074	000135822	801-5608	JENNISON ASSOCIATES LLC
0001085146-25-004957	200742	0001106129	028-03495	000106266	801-32726	JENSEN INVESTMENT MANAGEMENT INC
0001085146-25-004957	200743	0001021223	028-05792	000105879	801-24241	KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC
0001085146-25-004957	200744	0001207017	028-10469	000110552	801-61701	LAZARD ASSET MANAGEMENT LLC
0001085146-25-004957	200745	0001121330	028-05837	000104859	801-45536	LOGAN CAPITAL MANAGEMENT INC
0001085146-25-004957	200746	0001259887	028-10665	000106584	801-46604	LONDON CO OF VIRGINIA
0001085146-25-004957	200747	0000312348	028-00398	000110653	801-170	LOOMIS SAYLES & CO L P
0001085146-25-004957	200748	0001507115	028-14137	000110297	801-52751	Madison Investment Advisors, LLC
0001085146-25-004957	200749	0001034182	028-03673	000113360	801-42023	MANULIFE INVESTMENT MANAGEMENT (US) LLC
0001085146-25-004957	200750	0001443066	028-13173	000105325	801-46433	MFS Institutional Advisors, Inc.
0001085146-25-004957	200751	0001230440	028-17085	000124687	801-61757	Neuberger Berman Investment Advisers LLC
0001085146-25-004957	200752	0001054554	028-06668	000142219	801-35529	OAK RIDGE INVESTMENTS LLC
0001085146-25-004957	200753	0000932859	028-04558	000107033	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001085146-25-004957	200754	0000948669	028-05022	000316904	801-122618	PARNASSUS INVESTMENTS, LLC
0001085146-25-004957	200755	0001034524	028-03687	000029433	801-15180	POLEN CAPITAL MANAGEMENT LLC
0001085146-25-004957	200756	0001218333	028-10400	000109008	801-122618	PRINCIPAL REAL ESTATE INVESTORS LLC
0001085146-25-004957	200757	0000081273	028-00090	000107738	801-7974	PUTNAM INVESTMENT MANAGEMENT LLC
0001085146-25-004957	200758	0001996454	028-23430	000107959	801-118081	QRG CAPITAL MANAGEMENT, INC.
0001085146-25-004957	200759	0001554656	028-15157	000110096	801-71732	Raub Brock Capital Management LP
0001085146-25-004957	200760	0001080298	028-04879	000105360	801-40278	REINHART PARTNERS, LLC.
0001085146-25-004957	200761	0000721204	028-01190	000104652	801-17141	RUSSELL FRANK CO/
0001085146-25-004957	200762	0001056593	028-04691	000106435	801-18407	SCHAFER CULLEN CAPITAL MANAGEMENT INC
0001085146-25-004957	200763	0001315059	028-11066	000105281	801-62262	Suncoast Equity Management
0001085146-25-004957	200764	0001759421	028-19415	000104599	801-68152	Wakefield Asset Managment Corp
0001085146-25-004957	200703	0000916542	028-05990	000322795	801-126450	ACADIAN ASSET MANAGEMENT LLC
0001085146-25-004957	200704	0001520601	028-14467	000108278	801-42015	AFFINITY INVESTMENT ADVISORS, LLC
0001085146-25-004957	200705	0001569141	028-15235	000317544	801-122856	Alley Co LLC
0001085146-25-004957	200706	0001109448	028-10562	000108477	801-56720	ALLIANCEBERNSTEIN L.P.
0001085146-25-004957	200707	0001327354	028-11406	000105377	801-58237	Allspring Funds Management, LLC
0001085146-25-004957	200708	0001093589	028-05119	000106786	801-50778	ALTA CAPITAL MANAGEMENT LLC/
0001085146-25-004957	200709	0001697267	028-18496	000285721	801-108579	Aristotle Atlantic Partners, LLC
0001085146-25-004957	200710	0000860644	028-02634	000109876	801-60014	Aristotle Capital Management, LLC
0001085146-25-004957	200711	0000949012	028-05034	000145463	801-68485	BERKSHIRE ASSET MANAGEMENT LLC/PA
0001085146-25-004957	200712	0001305227	028-12016	000108928	801-56972	BlackRock Investment Management, LLC
0001085146-25-004957	200713	0001386060	028-12484	000124982	801-61786	Boston Partners
0001085146-25-004957	200714	0001015079	028-05620	000105404	801-24896	BRANDES INVESTMENT PARTNERS, LP
0001085146-25-004957	200715	0001114667	028-05775	000110181	801-38826	Brown Advisory LLC
0001085146-25-004957	200716	0000874791	028-02903	000107003	801-8825	CAMPBELL NEWMAN ASSET MANAGEMENT INC
0001085146-25-004957	200717	0000017283	028-00157	000110885	801-8055	CAPITAL RESEARCH & MANAGEMENT CO
0001085146-25-004957	200718	0001566728	028-15439	000150764	801-70333	Capital Wealth Planning, LLC
0001085146-25-004957	200719	0001056859	028-03569	000104592	801-51061	CHILTON CAPITAL MANAGEMENT LLC
0001085146-25-004957	200720	0000845563	028-02405	000106266	801-27721	COHEN & STEERS CAPITAL MANAGEMENT INC
0001085146-25-004957	200721	0001233991	028-10477	000108257	801-25943	COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC
0001085146-25-004957	200722	0000897378	028-03434	000105161	801-23386	CONGRESS ASSET MANAGEMENT CO
0002032331-25-000010	200886	0002032331	028-25355	000331921	802-131094	Arrowpoint Investment Partners (Singapore) Pte. Ltd.
0001674398-25-000004	200813					Bank of Montreal
0000950123-25-007723	200684		28-17598			Russell Investments Group, Ltd.
0000950123-25-007726	200859		28-17598			Russell Investments Group, Ltd.
0000950123-25-007725	200489		28-17598			Russell Investments Group, Ltd.
0000950123-25-007724	200533		28-17598			Russell Investments Group, Ltd.
0000950123-25-007719	200860		28-17598			Russell Investments Group, Ltd.
0000950123-25-007722	200654		28-17598			Russell Investments Group, Ltd.
0000950123-25-007718	200595		28-17598			Russell Investments Group, Ltd.
0000950123-25-007721	200773		28-17598			Russell Investments Group, Ltd.
0001104659-25-077135	200874	0002053290	028-25029			Baring Fintech Manager Holding Ltd
0001104659-25-077129	200864	0002053281	028-25024			Baring Fintech Fund III Managers Ltd
0001104659-25-077120	200624	0002053290	028-25029			Baring Fintech Manager Holding Ltd
0000950123-25-007717	200932		028-21112	000113042		Harbor Capital Advisors, Inc.
0000950123-25-007717	200929		028-12484	000124982		Boston Partners
0000950123-25-007717	200930		028-12635			Robeco Institutional Asset Management B.V.
0000950123-25-007717	200931		028-12627			Robeco Schweiz AG
0000950123-25-007712	200911		028-20530			Mizuho Markets Americas LLC
0000950123-25-007712	200910		028-19904			Mizuho Markets Cayman LP
0000950123-25-007712	200909		028-25682	000019647	8-37710	Mizuho Securities USA LLC
0000950123-25-007714	200425		028-07332	000110843	801-55047	Asset Management One Co., Ltd.
0000950123-25-007714	200424		028-19142			Mizuho Securities Co. Ltd.
0000950123-25-007714	200423		028-14226			Mizuho Bank, Ltd.
0000950123-25-007715	200415		028-15443			Delphi Financial Group, Inc.
0000950123-25-007714	200431		028-23558			Rakuten Securities, Inc.
0000950123-25-007714	200430		028-22801			PPSC Investment Service Corp
0000950123-25-007714	200429		028-22802			PayPay Securities Corp
0000950123-25-007714	200428		028-20530			Mizuho Markets Americas LLC
0000950123-25-007714	200426		028-25682	000019647	8-37710	Mizuho Securities USA LLC
0000950123-25-007714	200427		028-19904			Mizuho Markets Cayman LP
0000950123-25-007713	200854		028-15443			Delphi Financial Group, Inc.
0000950123-25-007706	200536		028-17794			SUMITOMO MITSUI FINANCIAL GROUP, INC.
0000950123-25-007709	200473		028-17794			SUMITOMO MITSUI FINANCIAL GROUP, INC.
0000950123-25-007705	200478		028-20249	000110858	801-45435	TT International Asset Management LTD
0000950123-25-007705	200477		028-14064	000301509	801-116710	Sumitomo Mitsui DS Asset Management Company, Ltd
0000950123-25-007708	200507		028-17794			SUMITOMO MITSUI FINANCIAL GROUP, INC.
0000950123-25-007707	200686		028-17794			SUMITOMO MITSUI FINANCIAL GROUP, INC.
0001104659-25-077103	200633	0002053281	028-25024			Baring Fintech Fund III Managers Ltd
0001104659-25-077092	200832	0002053281	028-25024			Baring Fintech Fund III Managers Ltd
0001104659-25-077079	200825	0002053281	028-25024			Baring Fintech Fund III Managers Ltd
0001214659-25-011901	200770	0001599731	028-15941			Atika Capital Management LLC
0001214659-25-011900	200812	0001599731	028-15941			Atika Capital Management LLC
0001062993-25-014224	200807	0001965176	028-22881	000317517	801-122960	STEVENS CAPITAL PARTNERS
