ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001172661-25-003670	203194	0001521019	028-14498			Nuveen Asset Management, LLC
0001172661-25-003670	203195	0001082917	028-04145			GW&K Investment Management, LLC
0001172661-25-003670	203191	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0002048490-25-000002	203184	0001997464	028-25755		001-42020	Marex Group plc
0001540527-25-000015	203197	0001997464	028-25755		001-42020	Marex Group plc
0002013988-25-000006	203185	0000907692		000105146	801-24593	SEI INVESTMENTS MANAGEMENT CORP
0001966440-25-000004	203164	0001164508	028-10005	000111209	801-56633	ARROWSTREET CAPITAL, LIMITED PARTNERSHIP
0001966440-25-000004	203165	0001421306	028-12820	000144078	801-69965	BRIGADE CAPITAL MANAGEMENT, LP
0001966440-25-000004	203166	0000354204	028-01186	000106482	801-16283	DIMENSIONAL FUND ADVISORS LP
0001966440-25-000004	203167	0001697233	028-17876	000283720	801-107734	GQG Partners LLC
0001966440-25-000004	203168	0001086318	028-04211	000119232	801-60987	INTECH INVESTMENT MANAGEMENT LLC
0001966440-25-000004	203170	0001207017	028-10469	000122836	801-61701	LAZARD ASSET MANAGEMENT LLC
0001966440-25-000004	203171	0001418333	028-13120			MACQUARIE GROUP LTD
0001966440-25-000004	203172	0001491998	028-16966			Ninety One SA (PTY) Ltd
0001966440-25-000004	203173	0001086619	028-04731			SCHRODER INVESTMENT MANAGEMENT GROUP
0001966440-25-000004	203174	0000861177	028-02682	000106838	801-34910	UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC
0001966440-25-000004	203175		028-28233			VINVA INVESTMENT MANAGEMENT LIMITED
0001966440-25-000004	203176	0000940755	028-14777			J O HAMBRO CAPITAL MANAGEMENT LTD
0001966440-25-000004	203163	0000052388	028-01091	000105778	801-8174	AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0001966440-25-000004	203162	0001109448	028-10562	000108477	801-56720	ALLIANCEBERNSTEIN L.P.
0001966440-25-000004	203161	0001167557	028-10120	000111883	801-55543	AQR CAPITAL MANAGEMENT LLC
0001966440-25-000004	203169	0001274173	028-10904			JANUS HENDERSON GROUP PLC
0001085146-25-005360	203158	0001061186	028-07104	000104702	801-11916	WCM INVESTMENT MANAGEMENT, LLC
0001085146-25-005360	203159	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001214659-25-012381	203183	0001699080	028-20757			Synergy Asset Management, LLC
0001633863-25-000010	203181	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001633863-25-000009	203157	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001633863-25-000008	203178	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001633863-25-000007	203182	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001633863-25-000006	203177	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001633863-25-000005	203156	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001633863-25-000004	203180	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001633863-25-000003	203179	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001633863-25-000002	203160	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0002067357-25-000001	203013		028-21480			National Bank of Canada /FI/
0000351040-25-000010	202526	0002029723	028-24319			American Family Investments, Inc.
0000351040-25-000009	203004	0002029723	028-24319			American Family Investments, Inc.
0000351040-25-000008	202088	0002029723	028-24319			American Family Investments, Inc.
0000351040-25-000007	202171	0002029723	028-24319			American Family Investments, Inc.
0001977052-25-000004	203057	0001540235	028-14616	000105348	801-18564	Creative Planning
0002056532-25-000006	202590					SEI 
0001905367-25-000003	202202		028-17729			Empowered Funds, LLC
0001532155-25-000168	202990	0001920120	028-22489			AXA Investment Managers US Inc.
