ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0000899140-25-000989	0	2	136128568	
0000902664-25-003671	0	6	813670152	
0001172661-25-003486	1	15	6289332977	
0001892688-25-000157	0	7	244094595	N
0000905148-25-002932	0	6	258699234	
0000902664-25-003670	0	2123	50941421373	
0001085146-25-005291	0	0	0	N
0000902664-25-003669	0	1132	12890397706	
0001645721-25-000018	0	26	432311250	N
0001960657-25-000005	0	53	268071202	N
0000899140-25-000988	0	7	426539216	
0001415889-25-021852	0	6	176535354	N
0000902664-25-003667	1	1494	2642729907	
0001172661-25-003485	0	739	40979284219	
0001085146-25-005290	0	0	0	N
0000950123-25-008397	0	1	659929654	N
0000902664-25-003666	1	29	202910966	
0001172661-25-003484	0	60	456384884	
0001879202-25-000038	2	15	578337040	
0001172661-25-003483	0	120	1233700295	
0001104659-25-078633	0	3	154870779	Y
0000899140-25-000987	0	3	214780417	
0000905148-25-002931	0	57	410083125	
0000902664-25-003663	1	853	563077370	
0001446114-25-000037	3	2583	4821308342	
0000935836-25-000534	0	18	295830289	
0001085146-25-005289	0	0	0	N
0000902664-25-003662	2	5	1838495000	
0001172661-25-003481	0	42	7208635970	
0001405086-25-000221	0	140	607536944	N
0001104659-25-078629	0	7	172139310	
0001415889-25-021846	0	21	1756013605	N
0000902664-25-003661	0	1	0	
0001085146-25-005288	0	1	780864	N
0001085146-25-005287	5	3627	52494564572	N
0000905148-25-002930	0	20	162512403	
0001012975-25-000448	3	36	1868950558	N
0001104659-25-078621	0	4	2304524200	
0000902664-25-003659	0	2	902079993	Y
0001172661-25-003480	0	30	7506000087	
0001013594-25-001036	0	18	340815770	
0001085146-25-005285	0	1	67096	N
0000902664-25-003658	0	6	38324263	
0000899140-25-000986	0	7	154389546	
0001104186-25-000008	0	80	2567076043	N
0001892688-25-000156	0	14	30570056	N
0000902664-25-003655	0	4	181582822	
0001085146-25-005284	0	0	0	N
0001104659-25-078608	0	48	939575089	
0001140361-25-031240	1	2	703745015	
0001104659-25-078607	1	5	1177869166	
0001085146-25-005283	0	4	1372937	N
0001641172-25-024037	0	13	5226676486	
0001641172-25-024034	0	24	176513039	
0001172661-25-003478	2	26	153801796	
0001398344-25-015668	0	357	1808483328	
0001398344-25-015669	0	6	309881316	
0001539497-25-002145	10	19	7886564146	Y
0000905148-25-002929	0	6	114756634	
0001214659-25-012272	1	200	1978390841	
0000950123-25-008390	9	177	23420753942	N
0000950123-25-008384	2	2	769984810	N
0000950123-25-008386	2	17	1393140224	N
0000950123-25-008382	0	67	56588586	N
0000950123-25-008366	0	33	61026042631	N
0001415889-25-021839	0	6	569222756	N
0000935836-25-000533	0	7	108626044	
0001085146-25-005282	0	1	0	N
0001172661-25-003477	1	2	971594935	
0001013594-25-001035	0	94	1353925545	
0001172661-25-003476	0	18	4144905733	
0001085146-25-005281	0	0	0	N
0001951757-25-001096	0	51	131594997	N
0001420506-25-002178	0	25	948489197	N
0000919574-25-004900	0	46	1761241488	
